name,transect,elevation,latitude,longitude,distance,longitude_dd,latitude_dd,year
coggrtr1pro26,1,0.701,41.39202678,-71.20441516,33.6178087,-71.34559766666666,41.65562994444444,2016
coggrtr1pro27,1,0.693,41.39203036,-71.20441346,34.78980751,-71.34559294444445,41.65563988888889,2016
coggrtr1pro28,1,0.69,41.39203401,-71.20441184,35.9752642,-71.34558844444445,41.655650027777774,2016
coggrtr1pro29,1,0.67,41.39203737,-71.20441014,37.08503474,-71.34558372222222,41.65565936111111,2016
coggrtr1pro30,1,0.664,41.39204101,-71.20440833,38.28552565,-71.34557869444444,41.65566947222222,2016
coggrtr1pro31,1,0.655,41.39204451,-71.20440625,39.46341018,-71.34557291666667,41.655679194444446,2016
coggrtr1pro32,1,0.672,41.39204824,-71.20440429,40.69978466,-71.34556747222223,41.655689555555554,2016
coggrtr1pro33,1,0.65,41.39205143,-71.20440294,41.73106458,-71.34556372222222,41.65569841666667,2016
coggrtr1pro34,1,0.545,41.3920543,-71.20440166,42.66494777,-71.34556016666667,41.65570638888889,2016
coggrtr1pro35,1,0.427,41.39205758,-71.20440063,43.69646242,-71.34555730555556,41.6557155,2016
coggrtr1pro36,1,0.335,41.39206001,-71.20439897,44.53389302,-71.34555269444445,41.65572225,2016
coggrtr1pro37,1,0.156,41.39206237,-71.20439872,45.23533028,-71.345552,41.655728805555555,2016
coggrtr1pro38,1,0.522,41.39206536,-71.2043955,46.35982908,-71.34554305555555,41.65573711111111,2016
coggrtr1pro39,1,0.559,41.39206927,-71.20439312,47.68145605,-71.34553644444445,41.65574797222222,2016
coggrtr1pro40,1,0.585,41.39207258,-71.20439149,48.77250531,-71.34553191666667,41.65575716666667,2016
coggrtr1pro41,1,0.599,41.39207674,-71.20438942,50.14071428,-71.34552616666667,41.65576872222222,2016
coggrtr1pro42,1,0.626,41.39208011,-71.20438821,51.21250042,-71.34552280555556,41.65577808333333,2016
coggrtr1pro43,1,0.676,41.39208324,-71.20438693,52.2200022,-71.34551925,41.65578677777778,2016
coggrtr1pro44,1,0.638,41.39208718,-71.20438486,53.52917371,-71.3455135,41.655797722222225,2016
coggrtr1pro45,1,0.667,41.39209046,-71.20438267,54.65205511,-71.34550741666666,41.65580683333334,2016
coggrtr1pro46,1,0.67,41.39209477,-71.20438044,56.08030979,-71.34550122222223,41.655818805555555,2016
coggrtr1pro47,1,0.694,41.39209824,-71.20437848,57.24150435,-71.34549577777777,41.655828444444445,2016
coggrtr1pro48,1,0.689,41.39210227,-71.20437668,58.54976043,-71.34549077777778,41.65583963888889,2016
coggrtr1pro49,1,0.694,41.3921056,-71.20437509,59.64151945,-71.34548636111111,41.65584888888889,2016
coggrtr1pro50,1,0.732,41.39210939,-71.20437358,60.8582332,-71.34548216666667,41.655859416666665,2016
coggrtr1pro51,1,0.721,41.39211274,-71.20437281,61.89137946,-71.34548002777778,41.65586872222222,2016
coggrtr1pro52,1,0.746,41.39211599,-71.20437034,63.02913427,-71.34547316666666,41.65587775,2016
coggrtr1pro53,1,0.769,41.39211971,-71.20436838,64.26388938,-71.34546772222222,41.65588808333333,2016
coggrtr1pro54,1,0.767,41.39212327,-71.20436633,65.45835526,-71.34546202777778,41.65589797222222,2016
coggrtr1pro55,1,0.777,41.3921265,-71.20436468,66.52494893,-71.34545744444445,41.655906944444446,2016
